;;;;;;;;;;;;;;;;;;;;;
87;2/11/1997;4;5;11;28;32;40;0;64;5195;0,00;12.696,60;156,11;;;0,00;0,00;4.654.053,86;Sim;Não;A SENA ESTA ACUMULADA.
88;9/11/1997;4;18;29;37;43;45;0;110;6805;0,00;7.965,82;128,51;;;0,00;0,00;5.705.540,99;Sim;Não;A MEGASENA ESTA ACUMULADA
89;16/11/1997;13;34;42;44;55;59;0;36;3847;0,00;24.246,00;226,45;;;0,00;0,00;6.752.968,26;Sim;Não;A MEGA SENA EST, ACUMULADA.
90;23/11/1997;9;21;26;40;52;54;1;74;4763;15.764.300,87;18.584,49;288,17;;RJ;0,00;0,00;0,00;Não;Não;ESTADO CONTEMPLADO COM SENA: RIO DE JANEIRO
91;30/11/1997;2;4;10;35;39;60;0;68;3878;0,00;9.588,80;167,81;;;0,00;0,00;782.445,93;Sim;Não;
92;7/12/1997;1;3;5;23;24;51;0;75;5530;0,00;9.792,64;132,56;;;0,00;0,00;1.663.783,45;Sim;Não;
93;14/12/1997;2;22;28;31;36;53;0;61;3795;0,00;12.369,31;198,44;;;0,00;0,00;2.569.217,31;Sim;Não;
94;21/12/1997;8;18;28;51;52;55;0;25;2086;0,00;31.457,49;376,26;;;0,00;0,00;3.512.942,16;Sim;Não;
95;28/12/1997;6;40;45;46;50;60;0;22;2185;0,00;30.807,89;309,58;;;0,00;0,00;4.326.270,55;Sim;Não;
96;4/1/1998;4;7;26;40;42;58;1;62;3984;5.218.562,47;11.993,17;186,27;;;0,00;0,00;0,00;Não;Não;Ganhador da SENA do Estado da Bahia.
97;11/1/1998;5;11;14;35;53;56;1;56;3441;727.932,66;10.832,33;175,94;;;0,00;0,00;0,00;Não;Não;Ganhador da SENA do Estado de Minas Gerais.
98;18/01/1998;13;14;31;33;35;43;0;89;4972;0,00;6.508,88;116,28;;;0,00;0,00;695.149,05;Sim;Não;
99;25/01/1998;11;24;30;33;46;60;0;46;3015;0,00;14.037,92;213,76;;;0,00;0,00;1.470.041,96;Sim;Não;A MEGA EST, ACUMULADA ! ! !
100;1/2/1998;14;29;30;46;48;51;0;56;3600;0,00;15.930,48;247,32;;;0,00;0,00;8.585.129,47;Sim;Não;
101;8/2/1998;1;18;29;31;37;39;0;52;4653;0,00;20.589,41;229,64;;;0,00;0,00;9.869.908,65;Sim;Não;A MEGA EST, A C U M U L A D A ! ! !
102;15/02/1998;19;20;37;42;44;56;1;73;6197;11.336.626,88;16.743,36;196,85;;;0,00;0,00;0,00;Não;Não;Ganhador da SENA do Estado de Minas Gerais.
103;22/02/1998;1;7;9;49;54;57;1;28;2632;696.984,24;20.743,58;220,24;;;0,00;0,00;0,00;Não;Não;GANHADOR DA SENA DO ESTADO DO PARAN,
104;1/3/1998;1;4;13;21;38;52;0;37;2588;0,00;14.006,33;199,85;;;0,00;0,00;621.880,72;Sim;Não;A C U M U L O U !!!
105;8/3/1998;3;13;31;43;46;49;0;55;4875;0,00;11.824,08;133,14;;;0,00;0,00;1.402.269,88;Sim;Não;A MEGA,SENA EST, ACUMULADA ! ! !
106;15/03/1998;5;16;24;35;38;39;0;94;5390;0,00;7.678,27;133,65;;;9.795.278,00;3.000.000,00;2.268.378,66;Sim;Não;
107;22/03/1998;2;4;16;24;51;52;0;35;3554;0,00;21.494,23;211,26;;;0,00;0,00;3.171.136,01;Sim;Não;A MEGA EST, ACUMULADA ! ! !
108;29/03/1998;21;24;29;34;59;60;0;35;2453;0,00;22.511,72;320,57;;;0,00;0,00;4.116.628,49;Sim;Não;
109;4/4/1998;1;13;44;48;49;54;0;39;3881;0,00;21.153,30;212,15;;;0,00;0,00;11.523.677,38;Sim;Não;A MEGA,SENA EST, ACUMULADA ! ! !
110;11/4/1998;18;31;43;52;57;58;0;35;3212;0,00;27.771,48;302,01;;;0,00;0,00;12.690.079,16;Sim;Não;
111;18/04/1998;4;22;25;32;33;52;0;68;6109;0,00;18.082,94;200,88;;;0,00;0,00;14.165.647,19;Sim;Não;
112;25/04/1998;12;20;34;37;42;43;1;137;8340;15.802.579,93;9.957,01;163,25;;;0,00;0,00;0,00;Não;Não;"01 GANHADOR DO ESTADO DO ""RIO GRANDE DO NORTE"""
113;2/5/1998;7;26;28;34;54;55;0;38;2572;0,00;14.269,55;210,40;;;0,00;0,00;650.691,40;Sim;Não;
114;9/5/1998;6;12;18;37;47;54;0;71;4908;0,00;9.626,08;138,99;;;0,00;0,00;1.470.833,69;Sim;Não;
115;16/05/1998;4;6;14;20;24;38;0;78;5091;0,00;9.283,10;141,95;;;0,00;0,00;2.339.731,79;Sim;Não;A MEGA,SENA EST, ACUMULADA !!!
116;23/05/1998;5;13;32;36;42;51;0;64;5270;0,00;11.956,28;144,91;;;10.384.878,00;4.200.000,00;3.257.973,62;Sim;Não;
117;30/05/1998;20;25;27;33;42;53;0;36;3822;0,00;22.046,87;207,26;;;0,00;0,00;4.210.398,41;Sim;Não;
118;6/6/1998;9;22;25;37;56;57;0;53;4342;0,00;16.052,88;195,56;;;0,00;0,00;5.231.361,36;Sim;Não;A MEGA,SENA EST, ACUMULADA ! ! !
119;13/06/1998;1;21;36;38;47;50;0;21;2691;0,00;38.921,16;303,13;;;0,00;0,00;13.206.225,91;Sim;Não;
120;20/06/1998;3;16;27;40;45;46;0;92;7073;0,00;13.020,97;169,04;;;0,00;0,00;14.643.740,70;Sim;Não;
121;27/06/1998;2;29;41;44;53;55;0;45;4554;0,00;28.917,00;285,17;;;0,00;0,00;16.205.258,33;Sim;Não;A MEGA,SENA EST, ACUMULADA ! ! !
122;4/7/1998;11;17;20;39;43;53;0;83;7203;0,00;18.210,45;209,43;;;0,00;0,00;18.019.018,95;Sim;Não;
123;11/7/1998;13;14;16;26;32;42;0;176;13159;0,00;12.440,56;166,06;;;0,00;0,00;20.646.465,28;Sim;Não;A MEGA,SENA ACUMULOU (11¬ Vez)
124;18/07/1998;5;15;34;41;52;57;1;188;14019;24.536.288,72;17.242,12;230,76;;;0,00;0,00;0,00;Não;Não;O PREMIO PRINCIPAL SAIU PARA A CIDADE DE VILA VELHA NO ESTADO DO ESPIRITO SANTO.
125;25/07/1998;25;41;47;53;56;59;0;46;2784;0,00;15.425,68;254,38;;;0,00;0,00;851.497,47;Sim;Não;
126;1/8/1998;6;10;11;28;32;40;0;83;5510;0,00;10.052,56;151,13;;;0,00;0,00;1.852.731,83;Sim;Não;A MEGA,SENA EST, ACUMULADA ! ! !
127;8/8/1998;21;29;50;51;54;59;0;40;2613;0,00;23.638,47;361,14;;;0,00;0,00;2.987.378,17;Sim;Não;
128;15/08/1998;3;9;18;21;23;43;0;973;11715;0,00;1.024,41;84,91;;;0,00;0,00;4.183.483,50;Sim;Não;
